"date","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
2017-11-01,4348,2965,1951,5131,3888,5187,1938,3253,4675,3822,2512,2029,4488,4457
2017-12-01,4652,1820,2041,2779,1086,4251,2267,4183,3557,2328,1146,1494,2646,2946
2018-01-01,3867,1737,1993,2855,4627,7736,2795,3564,8081,2909,1850,2164,6088,6290
2018-02-01,2907,1457,1554,3462,5223,5068,2437,2952,4343,5514,3005,1809,2921,2493
2018-03-01,5488,2972,2252,3587,5832,7304,3662,4268,6170,5323,2492,1984,3715,4341
2018-04-01,5455,1523,1716,4354,9444,3358,2502,2135,2868,4861,1835,1902,5726,2656
2018-05-01,6512,2303,1274,6206,8547,4229,2312,4984,5409,3684,3069,3331,3748,2352
2018-06-01,4072,3982,3681,2917,4442,9099,2117,3559,5960,5993,1812,5187,7423,8056
2018-07-01,2533,3483,1714,4933,5472,4960,4731,3229,5729,7842,1970,4455,5961,2137
2018-08-01,4774,4365,3292,5924,6139,6040,2684,5692,4901,8838,2305,5576,4687,2798
2018-09-01,2775,4014,2175,3966,3450,8810,1741,4018,5843,3870,3569,3675,6307,4472
2018-10-01,4120,5387,2751,4509,4581,8021,5963,5179,5993,6994,2151,7229,5933,6117
2018-11-01,5492,3980,3688,6368,5102,7981,3411,3541,8979,6408,1950,5010,5575,5210
2018-12-01,2599,3050,1242,3101,1586,3282,2230,1858,3514,6133,563,2281,2502,2372
2019-01-01,5148,2424,771,4316,3287,4564,3679,2046,2738,7945,1514,3385,6684,1642
2019-02-01,3912,4542,2229,5324,4360,3765,2960,2653,3950,4385,1421,1941,3082,2615
2019-03-01,3901,5034,2193,2826,2271,5695,3494,4474,7304,6520,2591,3632,4622,3199
2019-04-01,4000,2391,2370,5560,4205,6267,3171,3319,4181,3572,1771,2036,4898,1966
2019-05-01,4298,2083,2518,6747,3974,6269,2411,2771,3241,4170,1122,3057,3266,3086
2019-06-01,3854,1804,1105,2857,4773,3306,2811,2650,1775,6850,1568,3473,5647,2255
2019-07-01,6166,2769,1687,6519,4765,5645,3225,2830,5951,5093,2197,3250,8090,2470
2019-08-01,4794,2084,3103,3335,4343,5212,3602,5493,3605,7152,1489,5471,7465,4568
2019-09-01,5353,3183,2992,5347,4884,7323,2867,3599,6101,3811,2954,3380,6981,2384
2019-10-01,5232,5725,2172,5688,4134,4307,2674,3475,3865,3495,2303,1977,7348,2603
2019-11-01,4170,2786,2236,3578,4994,5772,4057,4193,4516,5254,2315,2758,6022,6234
2019-12-01,4009,2400,3179,3865,2172,6315,2692,2301,5206,3404,1550,1018,3619,2134
2020-01-01,5545,2912,4189,3956,6162,6600,3595,4843,5735,6249,2287,2496,5860,2821
2020-02-01,3423,2346,2510,4673,4234,5091,2352,4890,7689,7218,4536,3870,6097,4022
2020-03-01,7730,1592,3393,7915,3313,12558,6587,8939,13455,12030,9037,11885,8076,4175
2020-04-01,6306,1167,2239,5672,2709,9843,4621,10555,9617,8702,6207,4698,6455,3367
2020-05-01,5865,1483,2164,6739,3654,10322,6718,8439,7873,6100,6002,7301,8633,4425
2020-06-01,5690,1701,2706,6605,3974,8640,6364,6860,7183,4633,4745,2670,6317,2105
2020-07-01,5667,2547,2168,6200,3233,5354,4387,5777,6662,6360,4090,3102,8202,1787
2020-08-01,4246,2001,3242,3857,4779,6893,2697,4915,5173,5920,4096,1578,4491,3494
2020-09-01,4729,1914,2641,3589,3298,7193,3540,5609,6509,4661,2718,3205,6854,2293
2020-10-01,5743,2212,3022,4264,5685,7347,4343,6137,7175,7668,6088,3940,8753,5242
2020-11-01,4678,1700,1501,4433,4473,6751,4253,5087,5841,7449,3798,3282,5872,3664
2020-12-01,4771,2991,1452,3492,1645,5358,3607,5157,5478,4375,2134,1183,4530,1847
2021-01-01,4201,1543,2262,2608,3563,5528,1575,5680,6359,3546,2724,1925,6966,4072
2021-02-01,3333,1582,2285,3521,2806,6091,3586,5327,4427,4178,2622,2339,3311,2090
2021-03-01,4851,2054,3948,2808,3312,5308,2186,5204,5568,5467,2659,1662,4404,4799
2021-04-01,1612,1697,925,1245,2372,4181,2836,5372,6700,2672,1143,1691,3163,3138
2021-05-01,3597,1489,2258,3719,2299,6324,3081,3147,5062,5377,1771,1283,3006,3547
2021-06-01,3502,1719,3382,3018,4285,4829,2589,3396,5340,2216,1273,2826,4076,2474
2021-07-01,2293,1800,2947,2304,4166,4822,1989,3446,4482,4931,3324,3213,4099,1799
2021-08-01,2780,1545,4079,3415,4491,5118,1672,4933,5667,5339,2108,2212,4816,2805
2021-09-01,4387,1735,3685,2774,3883,3357,1770,2949,3871,4497,1813,3226,5373,5910
2021-10-01,1957,1288,3014,2373,2677,2874,1753,3106,2105,2566,2005,3945,4569,3558
2021-11-01,3978,2563,4297,3146,4025,3465,2694,3120,4461,3219,3113,3080,3648,2885
2021-12-01,4629,2700,3552,3112,4316,5780,1284,3429,4678,4095,4116,4069,6339,3355
2022-01-01,1973,2496,3054,1947,5582,3402,1940,3550,3572,5613,3474,4913,7091,3137
2022-02-01,2918,2064,3588,2369,6954,4233,3299,3235,4044,4415,2605,2737,3680,1983
2022-03-01,4763,2799,6812,5623,11947,5214,3187,4839,6042,10264,2709,7701,9224,3876
2022-04-01,3405,3646,7304,4333,6637,3730,2955,3226,4927,4695,2259,3531,7398,5636
2022-05-01,3903,2918,5162,4929,5761,4932,3174,4092,4445,8048,2076,5044,10315,3286
2022-06-01,3739,2378,5256,4521,3729,3153,2870,3914,9526,6297,1682,6258,6799,3016
2022-07-01,5503,2615,9301,5758,5032,5566,4264,5728,7392,7547,3327,3926,6456,3310
2022-08-01,4466,1701,6046,8107,4772,4363,4168,4362,4695,10994,2822,5636,9022,3077
2022-09-01,4148,2918,5993,4834,4709,6172,2921,5354,7443,7453,3177,5516,9282,4295
2022-10-01,4139,2834,3141,3399,4614,6410,3819,4827,6329,3135,3728,2566,6970,4761
