"date","upi","sub_real_economy","sub_politics","sub_financial_markets"
2008-06-01,0.0127765931936537,0.00378950117249226,0.0063632222219801,0.00262386979918135
2008-07-01,0.0155387071315663,0.00518746210318749,0.00709299013611203,0.00325825489226682
2008-08-01,0.0141211289705752,0.00485087617839914,0.00696513669695772,0.00230511609521839
2008-09-01,0.0204628409950769,0.00573993693736812,0.0096047366441547,0.00511816741355405
2008-10-01,0.0333958696295453,0.0112542812251342,0.0145192829709385,0.00762230543347256
2008-11-01,0.0235424657247023,0.0103185370257786,0.0104625081358169,0.00276142056310686
2008-12-01,0.0251063380048673,0.0106709856955413,0.010539458476442,0.00389589383288409
2009-01-01,0.0270310228515202,0.0110776066276028,0.0121440312139333,0.00380938500998409
2009-02-01,0.0246198073393355,0.00884568214720123,0.0113610465133663,0.0044130786787679
2009-03-01,0.0256895402839149,0.0106164762751407,0.0117303980828806,0.00334266592589359
2009-04-01,0.0226157331567261,0.00945154684592222,0.00911456387592119,0.00404962243488268
2009-05-01,0.0171087962012997,0.00678720433943812,0.00789848339346741,0.0024231084683942
2009-06-01,0.0170550180716031,0.00577703404986999,0.00863698193486471,0.00264100208686836
2009-07-01,0.0187054093709159,0.00687462149321511,0.00932461706760133,0.0025061708100995
2009-08-01,0.0167678910547043,0.00694598486514298,0.00707444037868855,0.00274746581087276
2009-09-01,0.0196503720889298,0.00707630462706831,0.0093108513138514,0.00326321614801012
2009-10-01,0.0167867628448425,0.00629095077503667,0.00735591659301044,0.00313989547679542
2009-11-01,0.0151757643681463,0.00595827812001483,0.00622273678104908,0.00299474946708235
2009-12-01,0.017390931932831,0.00751050981546632,0.00692687231888374,0.00295354979848094
2010-01-01,0.0170618609286884,0.00501373520489807,0.00899355861407797,0.00305456710971236
2010-02-01,0.0222065645692569,0.00748395311119887,0.0106452017006206,0.00407740975743743
2010-03-01,0.0193916986813489,0.0070007966787228,0.00931116300509429,0.00307973899753179
2010-04-01,0.0198453873631562,0.00641340222859032,0.00930213132864264,0.00412985380592326
2010-05-01,0.0229961793965846,0.00745087153051026,0.011023192502563,0.0045221153635113
2010-06-01,0.022834162807733,0.00716008362186649,0.0114022453239068,0.00427183386195978
